#Release 14.7 - par P.20160913 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sun Mar 22 23:53:19 2020

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       all_phase_map.ncd
#OUTPUT FILE:      all_phase_pad.csv
#PART TYPE:        xc6slx45t
#SPEED GRADE:      -3
#PACKAGE:          fgg484
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
C3,,IOBM,IO_L1P_HSWAPEN_0,UNUSED,,0,,,,,,,,,
C4,,IOBM,IO_L6P_0,UNUSED,,0,,,,,,,,,
C5,,IOBM,IO_L8P_0,UNUSED,,0,,,,,,,,,
C6,,,GND,,,,,,,,,,,,
C7,,IPAD,MGTRXN0_101,UNUSED,,,,,,,,,,,
C8,,,GND,,,,,,,,,,,,
C9,,IPAD,MGTRXN1_101,UNUSED,,,,,,,,,,,
C10,,,MGTAVCC_101,,,,,,,,,,,,
C11,,IPAD,MGTREFCLK1P_101,UNUSED,,,,,,,,,,,
C12,,,GND,,,,,,,,,,,,
C13,,IPAD,MGTRXN0_123,UNUSED,,,,,,,,,,,
C14,,,GND,,,,,,,,,,,,
C15,,IPAD,MGTRXN1_123,UNUSED,,,,,,,,,,,
C16,,,GND,,,,,,,,,,,,
C17,,IOBM,IO_L50P_0,UNUSED,,0,,,,,,,,,
C18,,IOBS,IO_L66N_SCP0_0,UNUSED,,0,,,,,,,,,
C19,,IOBM,IO_L64P_SCP5_0,UNUSED,,0,,,,,,,,,
C20,,IOBM,IO_L20P_1,UNUSED,,1,,,,,,,,,
C21,,,VCCO_1,,,1,,,,,any******,,,,
C22,,IOBS,IO_L20N_1,UNUSED,,1,,,,,,,,,
D1,diff_phase_6<10>,IOB,IO_L59N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
D2,diff_phase_6<9>,IOB,IO_L59P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
D3,,IOBS,IO_L1N_VREF_0,UNUSED,,0,,,,,,,,,
D4,,IOBM,IO_L2P_0,UNUSED,,0,,,,,,,,,
D5,,IOBS,IO_L2N_0,UNUSED,,0,,,,,,,,,
D6,,,GND,,,,,,,,,,,,
D7,,IPAD,MGTRXP0_101,UNUSED,,,,,,,,,,,
D8,,,MGTAVTTRX_101,,,,,,,,,,,,
D9,,IPAD,MGTRXP1_101,UNUSED,,,,,,,,,,,
D10,,,GND,,,,,,,,,,,,
D11,,IPAD,MGTREFCLK1N_101,UNUSED,,,,,,,,,,,
D12,,,MGTAVCCPLL1_101,,,,,,,,,,,,
D13,,IPAD,MGTRXP0_123,UNUSED,,,,,,,,,,,
D14,,,MGTAVTTRX_123,,,,,,,,,,,,
D15,,IPAD,MGTRXP1_123,UNUSED,,,,,,,,,,,
D16,,,GND,,,,,,,,,,,,
D17,,IOBM,IO_L66P_SCP1_0,UNUSED,,0,,,,,,,,,
D18,,IOBM,IO_L62P_0,UNUSED,,0,,,,,,,,,
D19,,IOBS,IO_L62N_VREF_0,UNUSED,,0,,,,,,,,,
D20,,,TMS,,,,,,,,,,,,
D21,,IOBM,IO_L28P_1,UNUSED,,1,,,,,,,,,
D22,,IOBS,IO_L28N_VREF_1,UNUSED,,1,,,,,,,,,
E1,diff_phase_6<2>,IOB,IO_L54N_M3A11_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
E2,,,GND,,,,,,,,,,,,
E3,diff_phase_6<1>,IOB,IO_L54P_M3RESET_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
E4,diff_phase_6<12>,IOB,IO_L60N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
E5,,IOBM,IO_L4P_0,UNUSED,,0,,,,,,,,,
E6,,IOBS,IO_L4N_0,UNUSED,,0,,,,,,,,,
E7,,,GND,,,,,,,,,,,,
E8,,,MGTAVTTRCAL_101,,,,,,,,,,,,
E9,,,MGTRREF_101,,,,,,,,,,,,
E10,,,MGTAVCC_123,,,,,,,,,,,,
E11,,,GND,,,,,,,,,,,,
E12,,IPAD,MGTREFCLK1P_123,UNUSED,,,,,,,,,,,
E13,,,MGTAVCCPLL1_123,,,,,,,,,,,,
E14,,,GND,,,,,,,,,,,,
E15,,,GND,,,,,,,,,,,,
E16,,IOBM,IO_L37P_GCLK13_0,UNUSED,,0,,,,,,,,,
E17,,,VCCO_0,,,0,,,,,any******,,,,
E18,,,TDI,,,,,,,,,,,,
E19,,,VCCO_1,,,1,,,,,any******,,,,
E20,,IOBM,IO_L32P_A17_M1A8_1,UNUSED,,1,,,,,,,,,
E21,,,GND,,,,,,,,,,,,
E22,,IOBS,IO_L32N_A16_M1A9_1,UNUSED,,1,,,,,,,,,
F1,diff_phase_6<0>,IOB,IO_L53N_M3A12_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
F2,diff_phase_5<15>,IOB,IO_L53P_M3CKE_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
F3,diff_phase_6<11>,IOB,IO_L60P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
F4,,,VCCO_3,,,3,,,,,2.50,,,,
F5,,IOBM,IO_L82P_3,UNUSED,,3,,,,,,,,,
F6,,,VCCO_0,,,0,,,,,any******,,,,
F7,,IOBM,IO_L7P_0,UNUSED,,0,,,,,,,,,
F8,,IOBS,IO_L7N_0,UNUSED,,0,,,,,,,,,
F9,,IOBS,IO_L32N_0,UNUSED,,0,,,,,,,,,
F10,,IOBS,IO_L34N_GCLK18_0,UNUSED,,0,,,,,,,,,
F11,,,VCCAUX,,,,,,,,2.5,,,,
F12,,IPAD,MGTREFCLK1N_123,UNUSED,,,,,,,,,,,
F13,,,GND,,,,,,,,,,,,
F14,,IOBM,IO_L36P_GCLK15_0,UNUSED,,0,,,,,,,,,
F15,,IOBS,IO_L36N_GCLK14_0,UNUSED,,0,,,,,,,,,
F16,,IOBS,IO_L37N_GCLK12_0,UNUSED,,0,,,,,,,,,
F17,,IOBS,IO_L51N_0,UNUSED,,0,,,,,,,,,
F18,,IOBM,IO_L1P_A25_1,UNUSED,,1,,,,,,,,,
F19,,IOBS,IO_L1N_A24_VREF_1,UNUSED,,1,,,,,,,,,
F20,,IOBS,IO_L29N_A22_M1A14_1,UNUSED,,1,,,,,,,,,
F21,,IOBM,IO_L31P_A19_M1CKE_1,UNUSED,,1,,,,,,,,,
F22,,IOBS,IO_L31N_A18_M1A12_1,UNUSED,,1,,,,,,,,,
G1,diff_phase_5<14>,IOB,IO_L52N_M3A9_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
G2,,,VCCO_3,,,3,,,,,2.50,,,,
G3,diff_phase_5<13>,IOB,IO_L52P_M3A8_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
G4,diff_phase_6<8>,IOB,IO_L58N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
G5,,,GND,,,,,,,,,,,,
G6,,IOBS,IO_L82N_3,UNUSED,,3,,,,,,,,,
G7,diff_phase_6<14>,IOB,IO_L80N_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
G8,,IOBM,IO_L32P_0,UNUSED,,0,,,,,,,,,
G9,,IOBM,IO_L34P_GCLK19_0,UNUSED,,0,,,,,,,,,
G10,,,VCCO_0,,,0,,,,,any******,,,,
G11,,IOBS,IO_L35N_GCLK16_0,UNUSED,,0,,,,,,,,,
G12,,,VCCAUX,,,,,,,,2.5,,,,
G13,,IOBS,IO_L38N_VREF_0,UNUSED,,0,,,,,,,,,
G14,,,VCCO_0,,,0,,,,,any******,,,,
G15,,IOBS,IO_L49N_0,UNUSED,,0,,,,,,,,,
G16,,IOBM,IO_L51P_0,UNUSED,,0,,,,,,,,,
G17,,,TDO,,,,,,,,,,,,
G18,,,GND,,,,,,,,,,,,
G19,,IOBM,IO_L29P_A23_M1A13_1,UNUSED,,1,,,,,,,,,
G20,,IOBM,IO_L35P_A11_M1A7_1,UNUSED,,1,,,,,,,,,
G21,,,VCCO_1,,,1,,,,,any******,,,,
G22,,IOBS,IO_L35N_A10_M1A2_1,UNUSED,,1,,,,,,,,,
H1,diff_phase_5<10>,IOB,IO_L50N_M3BA2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H2,diff_phase_5<9>,IOB,IO_L50P_M3WE_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H3,diff_phase_5<12>,IOB,IO_L51N_M3A4_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H4,diff_phase_6<7>,IOB,IO_L58P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H5,diff_phase_6<4>,IOB,IO_L55N_M3A14_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H6,diff_phase_6<13>,IOB,IO_L80P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
H7,,,GND,,,,,,,,,,,,
H8,,IOBS,IO_L81N_3,UNUSED,,3,,,,,,,,,
H9,,,VCCAUX,,,,,,,,2.5,,,,
H10,,IOBM,IO_L33P_0,UNUSED,,0,,,,,,,,,
H11,,IOBS,IO_L33N_0,UNUSED,,0,,,,,,,,,
H12,,IOBM,IO_L35P_GCLK17_0,UNUSED,,0,,,,,,,,,
H13,,IOBM,IO_L38P_0,UNUSED,,0,,,,,,,,,
H14,,IOBM,IO_L49P_0,UNUSED,,0,,,,,,,,,
H15,,,VCCAUX,,,,,,,,2.5,,,,
H16,,IOBM,IO_L9P_1,UNUSED,,1,,,,,,,,,
H17,,IOBS,IO_L9N_1,UNUSED,,1,,,,,,,,,
H18,,IOBM,IO_L30P_A21_M1RESET_1,UNUSED,,1,,,,,,,,,
H19,,IOBS,IO_L30N_A20_M1A11_1,UNUSED,,1,,,,,,,,,
H20,,IOBS,IO_L33N_A14_M1A4_1,UNUSED,,1,,,,,,,,,
H21,,IOBM,IO_L37P_A7_M1A0_1,UNUSED,,1,,,,,,,,,
H22,,IOBS,IO_L37N_A6_M1A1_1,UNUSED,,1,,,,,,,,,
J1,diff_phase_5<6>,IOB,IO_L48N_M3BA1_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J2,,,GND,,,,,,,,,,,,
J3,diff_phase_5<5>,IOB,IO_L48P_M3BA0_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J4,diff_phase_5<11>,IOB,IO_L51P_M3A10_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J5,,,VCCO_3,,,3,,,,,2.50,,,,
J6,diff_phase_6<3>,IOB,IO_L55P_M3A13_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J7,diff_phase_6<15>,IOB,IO_L81P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
J8,,,VCCINT,,,,,,,,1.2,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,VCCINT,,,,,,,,1.2,,,,
J11,,,GND,,,,,,,,,,,,
J12,,,VCCINT,,,,,,,,1.2,,,,
J13,,,GND,,,,,,,,,,,,
J14,,,VCCINT,,,,,,,,1.2,,,,
J15,,,GND,,,,,,,,,,,,
J16,,IOBM,IO_L19P_1,UNUSED,,1,,,,,,,,,
J17,,IOBS,IO_L19N_1,UNUSED,,1,,,,,,,,,
J18,,,VCCO_1,,,1,,,,,any******,,,,
J19,,IOBM,IO_L33P_A15_M1A10_1,UNUSED,,1,,,,,,,,,
J20,,IOBM,IO_L39P_M1A3_1,UNUSED,,1,,,,,,,,,
J21,,,GND,,,,,,,,,,,,
J22,,IOBS,IO_L39N_M1ODT_1,UNUSED,,1,,,,,,,,,
K1,diff_phase_5<4>,IOB,IO_L47N_M3A1_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K2,diff_phase_5<3>,IOB,IO_L47P_M3A0_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K3,diff_phase_5<2>,IOB,IO_L46N_M3CLKN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K4,diff_phase_5<1>,IOB,IO_L46P_M3CLK_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K5,diff_phase_5<8>,IOB,IO_L49N_M3A2_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K6,diff_phase_5<7>,IOB,IO_L49P_M3A7_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K7,diff_phase_6<5>,IOB,IO_L57P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K8,diff_phase_6<6>,IOB,IO_L57N_VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
K9,,,VCCINT,,,,,,,,1.2,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCINT,,,,,,,,1.2,,,,
K12,,,GND,,,,,,,,,,,,
K13,,,VCCINT,,,,,,,,1.2,,,,
K14,,,GND,,,,,,,,,,,,
K15,,,VCCAUX,,,,,,,,2.5,,,,
K16,,IOBS,IO_L21N_1,UNUSED,,1,,,,,,,,,
K17,,IOBM,IO_L36P_A9_M1BA0_1,UNUSED,,1,,,,,,,,,
K18,,IOBS,IO_L34N_A12_M1BA2_1,UNUSED,,1,,,,,,,,,
K19,,IOBM,IO_L34P_A13_M1WE_1,UNUSED,,1,,,,,,,,,
K20,,IOBM,IO_L38P_A5_M1CLK_1,UNUSED,,1,,,,,,,,,
K21,,IOBM,IO_L41P_GCLK9_IRDY1_M1RASN_1,UNUSED,,1,,,,,,,,,
K22,,IOBS,IO_L41N_GCLK8_M1CASN_1,UNUSED,,1,,,,,,,,,
L1,diff_phase_4<9>,IOB,IO_L41N_GCLK26_M3DQ5_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L2,,,VCCO_3,,,3,,,,,2.50,,,,
L3,diff_phase_4<8>,IOB,IO_L41P_GCLK27_M3DQ4_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L4,diff_phase_4<14>,IOB,IO_L44N_GCLK20_M3A6_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L5,,,GND,,,,,,,,,,,,
L6,diff_phase_5<0>,IOB,IO_L45N_M3ODT_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
L7,,,VCCO_3,,,3,,,,,2.50,,,,
L8,,,VCCAUX,,,,,,,,2.5,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,VCCINT,,,,,,,,1.2,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCINT,,,,,,,,1.2,,,,
L13,,,GND,,,,,,,,,,,,
L14,,,VCCINT,,,,,,,,1.2,,,,
L15,,IOBM,IO_L21P_1,UNUSED,,1,,,,,,,,,
L16,,,VCCO_1,,,1,,,,,any******,,,,
L17,,IOBS,IO_L36N_A8_M1BA1_1,UNUSED,,1,,,,,,,,,
L18,,,GND,,,,,,,,,,,,
L19,,IOBS,IO_L38N_A4_M1CLKN_1,UNUSED,,1,,,,,,,,,
L20,,IOBM,IO_L43P_GCLK5_M1DQ4_1,UNUSED,,1,,,,,,,,,
L21,,,VCCO_1,,,1,,,,,any******,,,,
L22,,IOBS,IO_L43N_GCLK4_M1DQ5_1,UNUSED,,1,,,,,,,,,
M1,diff_phase_4<7>,IOB,IO_L40N_M3DQ7_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M2,diff_phase_4<6>,IOB,IO_L40P_M3DQ6_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M3,diff_phase_4<13>,IOB,IO_L44P_GCLK21_M3A5_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M4,diff_phase_4<12>,IOB,IO_L43N_GCLK22_IRDY2_M3CASN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M5,diff_phase_4<11>,IOB,IO_L43P_GCLK23_M3RASN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M6,diff_phase_4<15>,IOB,IO_L45P_M3A3_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M7,diff_phase_3<4>,IOB,IO_L31P_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M8,diff_phase_3<5>,IOB,IO_L31N_VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
M9,,,VCCINT,,,,,,,,1.2,,,,
M10,,,GND,,,,,,,,,,,,
M11,,,VCCINT,,,,,,,,1.2,,,,
M12,,,GND,,,,,,,,,,,,
M13,,,VCCINT,,,,,,,,1.2,,,,
M14,,,GND,,,,,,,,,,,,
M15,,,VCCAUX,,,,,,,,2.5,,,,
M16,,IOBM,IO_L58P_1,UNUSED,,1,,,,,,,,,
M17,,IOBM,IO_L61P_1,UNUSED,,1,,,,,,,,,
M18,,IOBS,IO_L61N_1,UNUSED,,1,,,,,,,,,
M19,,IOBS,IO_L40N_GCLK10_M1A6_1,UNUSED,,1,,,,,,,,,
M20,,IOBM,IO_L40P_GCLK11_M1A5_1,UNUSED,,1,,,,,,,,,
M21,,IOBM,IO_L44P_A3_M1DQ6_1,UNUSED,,1,,,,,,,,,
M22,,IOBS,IO_L44N_A2_M1DQ7_1,UNUSED,,1,,,,,,,,,
N1,diff_phase_4<5>,IOB,IO_L39N_M3LDQSN_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
N2,,,GND,,,,,,,,,,,,
N3,diff_phase_4<4>,IOB,IO_L39P_M3LDQS_3,OUTPUT,LVCMOS25*,3,12,SLOW,,,,UNLOCATED,NO,NONE,
N4,clock,IOB,IO_L42N_GCLK24_M3LDM_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N5,,,VCCO_3,,,3,,,,,2.50,,,,
